symptom,factor_group,factor
Numbness or tingling in hands in adults,Accompanied by,"Frequent feeling that a foot or hand has ""fallen asleep"""
Numbness or tingling in hands in adults,Accompanied by,"Gradual onset of numbness, prickling or tingling in your feet or hands, which can spread upward into your legs and arms"
Numbness or tingling in hands in adults,Accompanied by,Lack of coordination and falling
Numbness or tingling in hands in adults,Accompanied by,Muscle weakness in the affected area
Numbness or tingling in hands in adults,Accompanied by,Muscle weakness or paralysis
Numbness or tingling in hands in adults,Accompanied by,Numbness or decreased sensation in the area supplied by the nerve
Numbness or tingling in hands in adults,Accompanied by,"Sharp, aching or burning pain, which may radiate outward"
Numbness or tingling in hands in adults,Accompanied by,"Sharp, jabbing, throbbing, freezing or burning pain"
Numbness or tingling in hands in adults,Accompanied by,"Tingling, pins and needles sensations (paresthesia)"
Pelvic pain in adult females,Pain best described as,Beginning suddenly
Pelvic pain in adult females,Pain best described as,Cyclical or recurrent
Pelvic pain in adult females,Pain best described as,Different from usual menstrual cramps
Pelvic pain in adult females,Pain best described as,Dull or achy
Pelvic pain in adult females,Pain best described as,"Itching or burning around genitals, buttocks or inner thighs"
Pelvic pain in adult females,Pain best described as,Ongoing
Pelvic pain in adult females,Pain best described as,Sharp or crampy
Pelvic pain in adult females,Worsened by,Lifting or straining
Pelvic pain in adult females,Worsened by,Menstrual cycle
Pelvic pain in adult females,Worsened by,Movement or physical activity
Pelvic pain in adult females,Worsened by,Stress
Pelvic pain in adult females,Accompanied by,Abnormal vaginal bleeding
Pelvic pain in adult females,Accompanied by,Black or bloody stools
Pelvic pain in adult females,Accompanied by,"Bloating, constipation or diarrhea"
Pelvic pain in adult females,Accompanied by,"Bumps, blisters or open sores"
Pelvic pain in adult females,Accompanied by,Change in vaginal discharge
Pelvic pain in adult females,Accompanied by,Excessive menstrual bleeding
Pelvic pain in adult females,Accompanied by,Fever
Pelvic pain in adult females,Accompanied by,Frequent urination or urge to urinate
Pelvic pain in adult females,Accompanied by,Increased waist size
Pelvic pain in adult females,Accompanied by,Irregular periods
Pelvic pain in adult females,Accompanied by,Lightheadedness or fainting
Pelvic pain in adult females,Accompanied by,Low back pain
Pelvic pain in adult females,Accompanied by,Mood swings
Pelvic pain in adult females,Accompanied by,Nausea or vomiting
Pelvic pain in adult females,Accompanied by,Painful bowel movements
Pelvic pain in adult females,Accompanied by,Painful or difficult urination
Pelvic pain in adult females,Accompanied by,Painful sexual intercourse
Pelvic pain in adult females,Accompanied by,Skin rash
Pelvic pain in adult females,Accompanied by,Unintended weight loss
Pelvic pain in adult females,Accompanied by,Weight gain
Pelvic pain in adult males,Pain best described as,"Discomfort, pressure or pain in lower abdomen or groin"
Pelvic pain in adult males,Pain best described as,"Itching or burning around genitals, buttocks or inner thighs"
Pelvic pain in adult males,Pain best described as,Pain or discomfort in the penis
Pelvic pain in adult males,Pain best described as,Painful intercourse or ejaculation
Pelvic pain in adult males,Pain best described as,Painful urination
Pelvic pain in adult males,Pain best described as,Testicle pain
Pelvic pain in adult males,Accompanied by,Blood in semen
Pelvic pain in adult males,Accompanied by,Blood in urine
Pelvic pain in adult males,Accompanied by,"Bumps, blisters or open sores"
Pelvic pain in adult males,Accompanied by,Clear discharge from penis
Pelvic pain in adult males,Accompanied by,Difficulty urinating or emptying bladder completely
Pelvic pain in adult males,Accompanied by,Discharge from the penis
Pelvic pain in adult males,Accompanied by,Fever
Pelvic pain in adult males,Accompanied by,Frequent urination or urge to urinate
Pelvic pain in adult males,Accompanied by,Lump or swelling in scrotum
Pelvic pain in adult males,Accompanied by,Nausea or vomiting
Pelvic pain in adult males,Accompanied by,Pus-filled discharge from penis
Shortness of breath in adults,Problem is,New or recent
Shortness of breath in adults,Problem is,Ongoing or recurrent
Shortness of breath in adults,Preceded by,Trauma or injury
Shortness of breath in adults,Preceded by,Upper respiratory illness
Shortness of breath in adults,Triggered or worsened by,Allergens or irritants
Shortness of breath in adults,Triggered or worsened by,Anxiety or stress
Shortness of breath in adults,Triggered or worsened by,"Coughing, sneezing or deep breathing"
Shortness of breath in adults,Triggered or worsened by,Exposure to cold air
Shortness of breath in adults,Triggered or worsened by,Mild to moderate exertion
Shortness of breath in adults,Triggered or worsened by,Smoking
Shortness of breath in adults,Accompanied by,Chest pain or tightness
Shortness of breath in adults,Accompanied by,Cough that produces blood
Shortness of breath in adults,Accompanied by,Cough that produces sputum
Shortness of breath in adults,Accompanied by,Dizziness or fainting
Shortness of breath in adults,Accompanied by,Dry cough
Shortness of breath in adults,Accompanied by,Fatigue or weakness
Shortness of breath in adults,Accompanied by,Fever or chills
Shortness of breath in adults,Accompanied by,Headache
Shortness of breath in adults,Accompanied by,Irregular or rapid heartbeat
Shortness of breath in adults,Accompanied by,Nausea
Shortness of breath in adults,Accompanied by,Pale or bluish skin
Shortness of breath in adults,Accompanied by,Rapid weight gain
Shortness of breath in adults,Accompanied by,Sweating
Shortness of breath in adults,Accompanied by,"Swelling of legs, ankles and feet"
Shortness of breath in adults,Accompanied by,Trembling
Shortness of breath in adults,Accompanied by,Wheezing
Shoulder pain in adults,Pain is,Dull or achy
Shoulder pain in adults,Pain is,Sharp or severe
Shoulder pain in adults,Onset is,Gradual
Shoulder pain in adults,Onset is,Sudden
Shoulder pain in adults,Triggered or worsened by,Everyday activities
Shoulder pain in adults,Triggered or worsened by,Injury
Shoulder pain in adults,Triggered or worsened by,Overuse or exertion
Shoulder pain in adults,Triggered or worsened by,Rest or inactivity
Shoulder pain in adults,Accompanied by,Inability to move shoulder
Shoulder pain in adults,Accompanied by,Muscle spasm
Shoulder pain in adults,Accompanied by,Numbness or tingling
Shoulder pain in adults,Accompanied by,Shoulder or arm weakness
Shoulder pain in adults,Accompanied by,Shoulder stiffness
Shoulder pain in adults,Accompanied by,Swelling
Shoulder pain in adults,Accompanied by,Visible deformity
Sore throat in adults,Accompanied by,Blue-colored skin or lips
Sore throat in adults,Accompanied by,Chills or sweating
Sore throat in adults,Accompanied by,Cough
Sore throat in adults,Accompanied by,Difficult or painful swallowing
Sore throat in adults,Accompanied by,Difficult or raspy breathing
Sore throat in adults,Accompanied by,"Enlarged, tender lymph nodes in neck"
Sore throat in adults,Accompanied by,Fever
Sore throat in adults,Accompanied by,Headache or facial pain
Sore throat in adults,Accompanied by,Heartburn
Sore throat in adults,Accompanied by,Hoarse or muffled voice
Sore throat in adults,Accompanied by,Muscle aches
Sore throat in adults,Accompanied by,"Red, swollen tonsils"
Sore throat in adults,Accompanied by,Runny or stuffy nose
Sore throat in adults,Accompanied by,Skin rash
Sore throat in adults,Accompanied by,Sneezing
Sore throat in adults,Accompanied by,Watery eyes
Sore throat in adults,Accompanied by,White patches or pus on tonsils
Sore throat in adults,Accompanied by,Yellow or greenish phlegm or discharge from your nose
Urinary problems in adults,Problem is,Awaking two or more times in the night to urinate
Urinary problems in adults,Problem is,Blood in urine
Urinary problems in adults,Problem is,Change in urine color
Urinary problems in adults,Problem is,Cloudy urine
Urinary problems in adults,Problem is,Difficulty emptying bladder or weak urine stream
Urinary problems in adults,Problem is,Difficulty starting urination
Urinary problems in adults,Problem is,Frequent urination
Urinary problems in adults,Problem is,Involuntary loss of urine
Urinary problems in adults,Problem is,Pain or burning when urinating
Urinary problems in adults,Problem is,"Strong, persistent urge to urinate"
Urinary problems in adults,Related pain involves,"Itching or burning around genitals, buttocks or inner thighs"
Urinary problems in adults,Related pain involves,Pain in back or side
Urinary problems in adults,Related pain involves,Pain in lower abdomen or groin
Urinary problems in adults,Related pain involves,Painful ejaculation
Urinary problems in adults,Related pain involves,Painful sexual intercourse
Urinary problems in adults,Worsened by,Menstrual cycle
Urinary problems in adults,Worsened by,Stress
Urinary problems in adults,Accompanied by,Blurred vision
Urinary problems in adults,Accompanied by,"Bumps, blisters or open sores around genitals"
Urinary problems in adults,Accompanied by,Change in vaginal discharge
Urinary problems in adults,Accompanied by,Clear discharge from penis
Urinary problems in adults,Accompanied by,Extreme thirst or hunger
Urinary problems in adults,Accompanied by,Fatigue
Urinary problems in adults,Accompanied by,Fever
Urinary problems in adults,Accompanied by,Nausea or vomiting
Urinary problems in adults,Accompanied by,Pus-filled discharge from penis
Urinary problems in adults,Accompanied by,Unintended weight loss
Urinary problems in adults,Accompanied by,Vaginal odor
Wheezing in adults,Wheezing is,New or recent
Wheezing in adults,Wheezing is,Ongoing or recurrent
Wheezing in adults,Preceded by,Upper respiratory illness
Wheezing in adults,Triggered or worsened by,Allergens or irritants
Wheezing in adults,Triggered or worsened by,Exposure to cold air
Wheezing in adults,Triggered or worsened by,Mild to moderate exertion
Wheezing in adults,Triggered or worsened by,Smoking
Wheezing in adults,Accompanied by,Blue-colored skin or lips
Wheezing in adults,Accompanied by,Chest pain or tightness
Wheezing in adults,Accompanied by,Cough that produces sputum
Wheezing in adults,Accompanied by,Difficult or painful swallowing
Wheezing in adults,Accompanied by,Dry cough
Wheezing in adults,Accompanied by,Fatigue or weakness
Wheezing in adults,Accompanied by,Fever
Wheezing in adults,Accompanied by,Hoarse or muffled voice
Wheezing in adults,Accompanied by,Shortness of breath
Wheezing in adults,Accompanied by,Sore throat
Abdominal pain in children,Pain is,Crampy
Abdominal pain in children,Pain is,Dull
Abdominal pain in children,Pain is,Extreme
Abdominal pain in children,Pain is,Intermittent or episodic
Abdominal pain in children,Pain is,Located in lower abdomen
Abdominal pain in children,Pain is,Sharp
Abdominal pain in children,Onset is,Intermittent or episodic
Abdominal pain in children,Onset is,Recent (hours to days)
Abdominal pain in children,Onset is,Sudden (minutes to hours)
Abdominal pain in children,Preceded by,Eating suspect food
Abdominal pain in children,Preceded by,Recent antibiotic use
Abdominal pain in children,Triggered or worsened by,Coughing or other jarring movements
Abdominal pain in children,Triggered or worsened by,Eating certain foods
Abdominal pain in children,Triggered or worsened by,Menstrual cycle
Abdominal pain in children,Triggered or worsened by,Stress
Abdominal pain in children,Relieved by,Avoiding certain foods
Abdominal pain in children,Relieved by,Drinking more water
Abdominal pain in children,Relieved by,Eating more fiber
Abdominal pain in children,Accompanied by,Constipation
Abdominal pain in children,Accompanied by,Delayed growth or sexual development
Abdominal pain in children,Accompanied by,Diarrhea
Abdominal pain in children,Accompanied by,Failure to thrive (infant or toddler)
Abdominal pain in children,Accompanied by,Fever
Abdominal pain in children,Accompanied by,Lump in abdomen
Abdominal pain in children,Accompanied by,Nausea or vomiting
Abdominal pain in children,Accompanied by,Passing gas
Abdominal pain in children,Accompanied by,Rash
Abdominal pain in children,Accompanied by,Stools with blood
Abdominal pain in children,Accompanied by,Stools with pus
Abdominal pain in children,Accompanied by,Weight loss
Constipation in children,Problem is,Ongoing or recurrent
Constipation in children,Problem is,Recent
Constipation in children,Triggered by,Avoiding regular bowel movements
Constipation in children,Accompanied by,Abdominal pain
Constipation in children,Accompanied by,Abdominal swelling
Constipation in children,Accompanied by,Anal or rectal pain
Constipation in children,Accompanied by,Bloody stools
Constipation in children,Accompanied by,Diarrhea
Constipation in children,Accompanied by,Fever
Constipation in children,Accompanied by,Loss of appetite
Constipation in children,Accompanied by,Leaking stool
Constipation in children,Accompanied by,Lump in abdomen
Constipation in children,Accompanied by,Nausea or vomiting
Cough in children,Cough is,Dry
Cough in children,Cough is,"Gasping, harsh or barking"
Cough in children,Cough is,Producing phlegm or sputum
Cough in children,Problem is,New or recent
Cough in children,Problem is,Ongoing or recurrent
Cough in children,Problem is,Worsening or progressing
Cough in children,Triggered or worsened by,Allergens or irritants
Cough in children,Accompanied by,Bluish skin on face
Cough in children,Accompanied by,Chest pain or tightness
Cough in children,Accompanied by,Drooling or difficulty swallowing
Cough in children,Accompanied by,New or recent wheezing
Cough in children,Accompanied by,Chills or sweating
Cough in children,Accompanied by,Diarrhea
Cough in children,Accompanied by,Fatigue
Cough in children,Accompanied by,Fever
Cough in children,Accompanied by,Headache or facial pain
Cough in children,Accompanied by,Hoarse voice
Cough in children,Accompanied by,Loss of appetite
Cough in children,Accompanied by,Muscle aches
Cough in children,Accompanied by,Nausea or vomiting
Cough in children,Accompanied by,Rapid heartbeat
Cough in children,Accompanied by,Rapid or difficult breathing
Cough in children,Accompanied by,Runny or stuffy nose
Cough in children,Accompanied by,Shortness of breath
Cough in children,Accompanied by,Sneezing
Cough in children,Accompanied by,Sore throat
Cough in children,Accompanied by,Watery or itchy eyes
Cough in children,Accompanied by,Wheezing
Diarrhea in children,Problem is,Ongoing or recurrent (weeks to years)
Diarrhea in children,Problem is,Recent (days to weeks)
Diarrhea in children,Problem is,Sudden (hours to days)
Diarrhea in children,Preceded by,Eating suspect food
Diarrhea in children,Preceded by,Recent antibiotic use
Diarrhea in children,Triggered or worsened by,Eating certain foods
Diarrhea in children,Relieved by,Avoiding certain foods
Diarrhea in children,Accompanied by,Abdominal pain or cramping
Diarrhea in children,Accompanied by,Bloating or abdominal swelling
Diarrhea in children,Accompanied by,Bloody stools
Diarrhea in children,Accompanied by,Decreased energy or fatigue
Diarrhea in children,Accompanied by,Fever
Diarrhea in children,Accompanied by,Foul-smelling stools
Diarrhea in children,Accompanied by,Hallucinations
Diarrhea in children,Accompanied by,Mucus in stools
Diarrhea in children,Accompanied by,Muscle or joint aches
Diarrhea in children,Accompanied by,Nausea or vomiting
Diarrhea in children,Accompanied by,Passing gas
Diarrhea in children,Accompanied by,Stomach growling or rumbling
Diarrhea in children,Accompanied by,Weight loss
Ear problems in children,Triggered by,Change in air pressure
Ear problems in children,Triggered by,Cold or upper respiratory illness
Ear problems in children,Triggered by,Foreign object in ear
Ear problems in children,Triggered by,Injury or trauma
Ear problems in children,Triggered by,"Loud, sudden noise"
Ear problems in children,Preceded by,Middle ear infection
Ear problems in children,Accompanied by,Bleeding from ear
Ear problems in children,Accompanied by,Clear or pus-filled drainage
Ear problems in children,Accompanied by,Dizziness or spinning sensation
Ear problems in children,Accompanied by,Ear pain or discomfort
Ear problems in children,Accompanied by,Feeling of fullness in ear
Ear problems in children,Accompanied by,Fever
Ear problems in children,Accompanied by,Headache
Ear problems in children,Accompanied by,Nausea or vomiting
Ear problems in children,Accompanied by,Ringing or buzzing in ear
Earache in children,Triggered by,Allergens or other irritants
Earache in children,Triggered by,Change in air pressure
Earache in children,Triggered by,Cold or upper respiratory illness
Earache in children,Triggered by,Foreign object in ear
Earache in children,Triggered by,Injury or trauma
Earache in children,Triggered by,"Loud, sudden noise"
Earache in children,Accompanied by,Bleeding from ear
Earache in children,Accompanied by,Clear or pus-filled drainage
Earache in children,Accompanied by,Cough
Earache in children,Accompanied by,Decreased hearing
Earache in children,Accompanied by,Difficulty sleeping or irritability (infant or toddler)
Earache in children,Accompanied by,Dizziness or spinning sensation
Earache in children,Accompanied by,Feeling of fullness in ear
Earache in children,Accompanied by,Fever
Earache in children,Accompanied by,Headache or facial pain
Earache in children,Accompanied by,"Itchy nose, mouth or throat"
Earache in children,Accompanied by,Mild body aches
Earache in children,Accompanied by,Nausea or vomiting
Earache in children,Accompanied by,Redness in ear canal
Earache in children,Accompanied by,Redness or swelling of outer ear
Earache in children,Accompanied by,Ringing or buzzing in ear
Earache in children,Accompanied by,Runny or stuffy nose
Earache in children,Accompanied by,Scaly or flaking skin on outer ear
Earache in children,Accompanied by,Sneezing
Earache in children,Accompanied by,Sore throat
Earache in children,Accompanied by,Watery or itchy eyes
Eye discomfort and redness in children,Eye discomfort best described as,Achy
Eye discomfort and redness in children,Eye discomfort best described as,Dry or itchy
Eye discomfort and redness in children,Eye discomfort best described as,Gritty sensation
Eye discomfort and redness in children,Eye discomfort best described as,Redness without actual discomfort
Eye discomfort and redness in children,Eye discomfort best described as,Sensitivity to light
Eye discomfort and redness in children,Eye discomfort best described as,Severe pain
Eye discomfort and redness in children,Eye discomfort best described as,Stinging or burning sensation
Eye discomfort and redness in children,Appearance of eye includes,Bleeding on the surface of the white of the eye
Eye discomfort and redness in children,Appearance of eye includes,Crusted eyelashes after sleeping
Eye discomfort and redness in children,Appearance of eye includes,Excessive tearing
Eye discomfort and redness in children,Appearance of eye includes,"Red, painful lump on the eyelid"
Eye discomfort and redness in children,Appearance of eye includes,Redness
Eye discomfort and redness in children,Appearance of eye includes,Stringy mucus in or around the eye
Eye discomfort and redness in children,Appearance of eye includes,Swelling around the eye
Eye discomfort and redness in children,Vision problem includes,Blurred vision
Eye discomfort and redness in children,Vision problem includes,"Dark, floating spots in vision"
Eye discomfort and redness in children,Vision problem includes,Vision loss
Eye discomfort and redness in children,Triggered by,Allergens or other irritants
Eye discomfort and redness in children,Triggered by,Injury or trauma
Eye discomfort and redness in children,Worsened by,Eye movement
Eye discomfort and redness in children,Accompanied by,Runny or stuffy nose
Eye problems in children,Problem is,Blurry distant objects
Eye problems in children,Problem is,Blurry nearby objects
Eye problems in children,Problem is,Blurry vision at all distances
Eye problems in children,Problem is,Bright zigzag lines
Eye problems in children,Problem is,Fading colors
Eye problems in children,Problem is,Flashes of light
Eye problems in children,Problem is,Inability to distinguish certain shades of color
Eye problems in children,Problem is,Objects appear crooked or distorted
Eye problems in children,Problem is,Sensitivity to light
Eye problems in children,Problem is,Shimmering spots or stars
Eye problems in children,Problem is,Spots or strings floating in field of vision
Eye problems in children,Problem is,"Vision loss, partial or total"
Eye problems in children,Problem affects,One eye
Eye problems in children,Onset is,Gradual or progressive
Eye problems in children,Onset is,Recent (hours to days)
Eye problems in children,Onset is,Sudden (seconds to minutes)
Eye problems in children,Duration is,Usually no longer than 30 minutes
Eye problems in children,You observe your child,Favoring one eye over the other
Eye problems in children,You observe your child,Having one eye that wanders
Eye problems in children,You observe your child,Holding objects away from his or her face
Eye problems in children,You observe your child,Holding objects close to his or her face
Eye problems in children,You observe your child,Squinting frequently
Eye problems in children,Accompanied by,Eye pain or discomfort
Eye problems in children,Accompanied by,Eye redness
Eye problems in children,Accompanied by,Eyestrain
Eye problems in children,Accompanied by,Headache
Eye problems in children,Accompanied by,Other sensory disturbances
Eye problems in children,Accompanied by,Swelling around the eye
Fever in children,Accompanied by,Abdominal pain or cramping
Fever in children,Accompanied by,Bloody or cloudy urine
Fever in children,Accompanied by,Bloody stools
Fever in children,Accompanied by,Chest pain or tightness
Fever in children,Accompanied by,Chills
Fever in children,Accompanied by,Cough
Fever in children,Accompanied by,Decreased energy or fatigue
Fever in children,Accompanied by,Diarrhea
Fever in children,Accompanied by,Ear pain or discharge
Fever in children,Accompanied by,Frequent or painful urination
Fever in children,Accompanied by,Headache
Fever in children,Accompanied by,Loss of appetite
Fever in children,Accompanied by,Muscle aches
Fever in children,Accompanied by,Nausea or vomiting
Fever in children,Accompanied by,Night sweats
Fever in children,Accompanied by,Rapid heartbeat
Fever in children,Accompanied by,Rapid or difficult breathing
Fever in children,Accompanied by,Rash
Fever in children,Accompanied by,Red spots at the back of the roof of the mouth
Fever in children,Accompanied by,"Red, swollen tonsils"
Fever in children,Accompanied by,Runny or stuffy nose
Fever in children,Accompanied by,Shortness of breath
Fever in children,Accompanied by,Sneezing
Fever in children,Accompanied by,Sore throat
Fever in children,Accompanied by,Swollen glands (lymph nodes) in neck
Fever in children,Accompanied by,Watery or itchy eyes
Fever in children,Accompanied by,Wheezing
Fever in children,Accompanied by,White patches or pus on tonsils
Headaches in children,Pain is,Intense
Headaches in children,Pain is,Mild to moderate
Headaches in children,Pain is,Moderate to severe
Headaches in children,Pain is,Pressure or squeezing sensation
Headaches in children,Pain is,Stabbing or burning
Headaches in children,Pain is,Throbbing
Headaches in children,Pain located,Around one eye or radiates from one eye
Headaches in children,Pain located,On both sides of head
Headaches in children,Pain located,On one side of head
Headaches in children,Onset is,Gradual
Headaches in children,Onset is,Preceded by a head injury or fall
Headaches in children,Onset is,Preceded by frequent use of pain medication
Headaches in children,Onset is,Preceded by visual or other sensory disturbances
Headaches in children,Onset is,Sudden
Headaches in children,Duration of headache is,A few hours to days
Headaches in children,Duration of headache is,A few minutes to hours
Headaches in children,Recurrence of headache,Gradually becomes more frequent
Headaches in children,Recurrence of headache,Is daily
Headaches in children,Recurrence of headache,Is often in the morning
Headaches in children,Recurrence of headache,Is often the same time every day
Headaches in children,Triggered or worsened by,Change in sleep patterns
Headaches in children,Triggered or worsened by,Clenching or grinding teeth
Headaches in children,Triggered or worsened by,Everyday activities
Headaches in children,Triggered or worsened by,Hormonal changes
Headaches in children,Triggered or worsened by,Poor posture
Headaches in children,Triggered or worsened by,Stress
Headaches in children,Relieved by,Lying down in the dark
Headaches in children,Relieved by,Over-the-counter pain medication
Headaches in children,Relieved by,Rest
Headaches in children,Accompanied by,Achy joints or muscles
Headaches in children,Accompanied by,"Change in personality, behaviors or mental status"
Headaches in children,Accompanied by,Confusion
Headaches in children,Accompanied by,Difficulty speaking
Headaches in children,Accompanied by,Dizziness
Headaches in children,Accompanied by,Fever
Headaches in children,Accompanied by,Jaw pain
Headaches in children,Accompanied by,Memory loss or forgetfulness
Headaches in children,Accompanied by,Nausea or vomiting
Headaches in children,Accompanied by,Persistent weakness or numbness
Headaches in children,Accompanied by,Restlessness or agitation
Headaches in children,Accompanied by,Runny or stuffy nose
Headaches in children,Accompanied by,Seizures
Headaches in children,Accompanied by,Sensitivity to light or noise
Headaches in children,Accompanied by,Stiff neck
Headaches in children,Accompanied by,Vision problems
Joint pain or muscle pain in children,Problem is,Bone pain
Joint pain or muscle pain in children,Problem is,Dull or achy pain
Joint pain or muscle pain in children,Problem is,Joint pain
Joint pain or muscle pain in children,Problem is,"Muscles aches, cramps or pain"
Joint pain or muscle pain in children,Located,Around the kneecap
Joint pain or muscle pain in children,Located,In a specific area
Joint pain or muscle pain in children,Located,In various sites as it moves from one location to another
Joint pain or muscle pain in children,Located,Throughout the whole body
Joint pain or muscle pain in children,Onset is,Gradual
Joint pain or muscle pain in children,Onset is,Intermittent or episodic
Joint pain or muscle pain in children,Onset is,Sudden
Joint pain or muscle pain in children,Preceded by,Tick bite or possible exposure to ticks
Joint pain or muscle pain in children,Occurs,At night
Joint pain or muscle pain in children,Occurs,In late afternoon or early evening
Joint pain or muscle pain in children,Triggered or worsened by,Everyday activities
Joint pain or muscle pain in children,Triggered or worsened by,Injury
Joint pain or muscle pain in children,Triggered or worsened by,Overuse
Joint pain or muscle pain in children,Worsened by,Movement
Joint pain or muscle pain in children,Worsened by,Movement or weight-bearing activity
Joint pain or muscle pain in children,Worsened by,Prolonged sitting or standing
Joint pain or muscle pain in children,Worsened by,Rest or inactivity
Joint pain or muscle pain in children,Accompanied by,Bruising or discoloring
Joint pain or muscle pain in children,Accompanied by,Concentration or memory problems
Joint pain or muscle pain in children,Accompanied by,Decreased range of motion
Joint pain or muscle pain in children,Accompanied by,Easy bruising or bleeding
Joint pain or muscle pain in children,Accompanied by,Feeling of instability
Joint pain or muscle pain in children,Accompanied by,Fever
Joint pain or muscle pain in children,Accompanied by,Fever with no apparent cause
Joint pain or muscle pain in children,Accompanied by,Grating sensation
Joint pain or muscle pain in children,Accompanied by,Headache
Joint pain or muscle pain in children,Accompanied by,Inability to bear weight
Joint pain or muscle pain in children,Accompanied by,Loss of appetite
Joint pain or muscle pain in children,Accompanied by,"Pain near the hip — in the groin, thigh, or buttock — or in the shoulder, knee, hand or foot"
Joint pain or muscle pain in children,Accompanied by,Persistent decreased energy or fatigue
Joint pain or muscle pain in children,Accompanied by,Rash
Joint pain or muscle pain in children,Accompanied by,Skin redness or warmth near affected area
Joint pain or muscle pain in children,Accompanied by,Stiffness
Joint pain or muscle pain in children,Accompanied by,Swelling or tenderness near affected area
Joint pain or muscle pain in children,Accompanied by,"Swollen lymph nodes in neck, groin or underarms"
Joint pain or muscle pain in children,Accompanied by,Tiny red spots on skin
Joint pain or muscle pain in children,Accompanied by,Unexplained or new-onset limping
Joint pain or muscle pain in children,Accompanied by,Unintended weight loss
Nasal congestion in children,Problem is,New or recent
Nasal congestion in children,Problem is,Ongoing or recurrent
Nasal congestion in children,Problem is,Recent and worsening
Nasal congestion in children,Nasal discharge is,Clear or watery
Nasal congestion in children,Nasal discharge is,"Mainly from one side (""unilateral"") only"
Nasal congestion in children,Nasal discharge is,Yellow or greenish
Nasal congestion in children,Accompanied by,Bad breath
Nasal congestion in children,Accompanied by,Blue-colored skin under the eyes
Nasal congestion in children,Accompanied by,Cough
Nasal congestion in children,Accompanied by,Decreased energy or fatigue
Nasal congestion in children,Accompanied by,Delayed growth
Nasal congestion in children,Accompanied by,Ear pain
Nasal congestion in children,Accompanied by,Enlargement or rounding of fingertips or toes
Nasal congestion in children,Accompanied by,Failure to thrive (infant and toddler)
Nasal congestion in children,Accompanied by,Fatigue
Nasal congestion in children,Accompanied by,Fever
Nasal congestion in children,Accompanied by,Foul odor or bad breath
Nasal congestion in children,Accompanied by,Foul-smelling stools
Nasal congestion in children,Accompanied by,Headache or facial pain
Nasal congestion in children,Accompanied by,"Itchy eyes, nose, mouth or throat"
Nasal congestion in children,Accompanied by,Mild body aches
Nasal congestion in children,Accompanied by,Nosebleeds
Nasal congestion in children,Accompanied by,Object in nostril
Nasal congestion in children,Accompanied by,"Recurrent, severe respiratory infections"
Nasal congestion in children,Accompanied by,Reduced sense of smell or taste
Nasal congestion in children,Accompanied by,Runny nose
Nasal congestion in children,Accompanied by,Sneezing
Nasal congestion in children,Accompanied by,Snoring
Nasal congestion in children,Accompanied by,Sore throat
Nasal congestion in children,Accompanied by,Upper jaw or tooth pain
Nasal congestion in children,Accompanied by,Watery eyes
Nausea or vomiting in children,Triggered or worsened by,Eating certain foods
Nausea or vomiting in children,Triggered or worsened by,Travel or motion
Nausea or vomiting in children,Onset is,Intermittent or episodic
Nausea or vomiting in children,Onset is,Recent (hours to days)
Nausea or vomiting in children,Onset is,Sudden (minutes to hours)
Nausea or vomiting in children,Onset is,Within the first two months of life
Nausea or vomiting in children,Accompanied by,Abdominal bloating or swelling
Nausea or vomiting in children,Accompanied by,"Abdominal pain, discomfort or cramps"
Nausea or vomiting in children,Accompanied by,Abdominal pain that's severe and progressive
Nausea or vomiting in children,Accompanied by,Constipation
Nausea or vomiting in children,Accompanied by,Cough
Nausea or vomiting in children,Accompanied by,Diarrhea
Nausea or vomiting in children,Accompanied by,Dizziness
Nausea or vomiting in children,Accompanied by,Failure to thrive or gain weight (infant)
Nausea or vomiting in children,Accompanied by,Fever
Nausea or vomiting in children,Accompanied by,Fussiness or irritability
Nausea or vomiting in children,Accompanied by,Hives or rash
Nausea or vomiting in children,Accompanied by,"Swelling or tingling of lips, face and tongue"
Nausea or vomiting in children,Accompanied by,Wet burps or spit up
Nausea or vomiting in children,Accompanied by,Wheezing
Skin rashes in children,Rash best described as,Blisters
Skin rashes in children,Rash best described as,Itchy
Skin rashes in children,Rash best described as,Lacy and slightly raised
Skin rashes in children,Rash best described as,Oozing sores that become crusty
Skin rashes in children,Rash best described as,"Pus-filled, crusty swellings"
Skin rashes in children,Rash best described as,"Raised, red welts"
Skin rashes in children,Rash best described as,Red or discolored blotches
Skin rashes in children,Rash best described as,Red or discolored bumps
Skin rashes in children,Rash best described as,Red or discolored skin
Skin rashes in children,Rash best described as,Ring shaped
Skin rashes in children,Rash best described as,Scaly or flaky
Skin rashes in children,Rash best described as,Thick and leathery
Skin rashes in children,Affects,A small site and then spreads
Skin rashes in children,Affects,Buttocks
Skin rashes in children,Affects,Diaper area
Skin rashes in children,Affects,Face or neck
Skin rashes in children,Affects,Folds of skin
Skin rashes in children,Affects,Genital area
Skin rashes in children,Affects,Hands or feet
Skin rashes in children,Affects,Scalp
Skin rashes in children,Affects,Trunk
Skin rashes in children,Preceded by,Eating certain foods
Skin rashes in children,Preceded by,Exposure to allergen or irritant
Skin rashes in children,Preceded by,Exposure to irritating plants
Skin rashes in children,Preceded by,Prolonged exposure to heat
Skin rashes in children,Preceded by,Tick bite or possible exposure to ticks
Skin rashes in children,Accompanied by,Brittle hair and hair loss
