symptom,factor_group,factor
Pelvic pain in adult males,Accompanied by,Difficulty urinating or emptying bladder completely
Pelvic pain in adult males,Accompanied by,Discharge from the penis
Pelvic pain in adult males,Accompanied by,Fever
Pelvic pain in adult males,Accompanied by,Frequent urination or urge to urinate
Pelvic pain in adult males,Accompanied by,Lump or swelling in scrotum
Pelvic pain in adult males,Accompanied by,Nausea or vomiting
Pelvic pain in adult males,Accompanied by,Pus-filled discharge from penis
Shortness of breath,Problem is,New or recent
Shortness of breath,Problem is,Ongoing or recurrent
Shortness of breath,Preceded by,Trauma or injury
Shortness of breath,Preceded by,Upper respiratory illness
Shortness of breath,Triggered or worsened by,Allergens or irritants
Shortness of breath,Triggered or worsened by,Anxiety or stress
Shortness of breath,Triggered or worsened by,"Coughing, sneezing or deep breathing"
Shortness of breath,Triggered or worsened by,Exposure to cold air
Shortness of breath,Triggered or worsened by,Mild to moderate exertion
Shortness of breath,Triggered or worsened by,Smoking
Shortness of breath,Accompanied by,Chest pain or tightness
Shortness of breath,Accompanied by,Cough that produces blood
Shortness of breath,Accompanied by,Cough that produces sputum
Shortness of breath,Accompanied by,Dizziness or fainting
Shortness of breath,Accompanied by,Dry cough
Shortness of breath,Accompanied by,Fatigue or weakness
Shortness of breath,Accompanied by,Fever or chills
Shortness of breath,Accompanied by,Headache
Shortness of breath,Accompanied by,Irregular or rapid heartbeat
Shortness of breath,Accompanied by,Nausea
Shortness of breath,Accompanied by,Pale or bluish skin
Shortness of breath,Accompanied by,Rapid weight gain
Shortness of breath,Accompanied by,Sweating
Shortness of breath,Accompanied by,"Swelling of legs, ankles and feet"
Shortness of breath,Accompanied by,Trembling
Shortness of breath,Accompanied by,Wheezing
Shoulder pain,Pain is,Dull or achy
Shoulder pain,Pain is,Sharp or severe
Shoulder pain,Onset is,Gradual
Shoulder pain,Onset is,Sudden
Shoulder pain,Triggered or worsened by,Everyday activities
Shoulder pain,Triggered or worsened by,Injury
Shoulder pain,Triggered or worsened by,Overuse or exertion
Shoulder pain,Triggered or worsened by,Rest or inactivity
Shoulder pain,Accompanied by,Inability to move shoulder
Shoulder pain,Accompanied by,Muscle spasm
Shoulder pain,Accompanied by,Numbness or tingling
Shoulder pain,Accompanied by,Shoulder or arm weakness
Shoulder pain,Accompanied by,Shoulder stiffness
Shoulder pain,Accompanied by,Swelling
Shoulder pain,Accompanied by,Visible deformity
Sore throat,Accompanied by,Blue-colored skin or lips
Sore throat,Accompanied by,Chills or sweating
Sore throat,Accompanied by,Cough
Sore throat,Accompanied by,Difficult or painful swallowing
Sore throat,Accompanied by,Difficult or raspy breathing
Sore throat,Accompanied by,"Enlarged, tender lymph nodes in neck"
Sore throat,Accompanied by,Fever
Sore throat,Accompanied by,Headache or facial pain
Sore throat,Accompanied by,Heartburn
Sore throat,Accompanied by,Hoarse or muffled voice
Sore throat,Accompanied by,Muscle aches
Sore throat,Accompanied by,"Red, swollen tonsils"
Sore throat,Accompanied by,Runny or stuffy nose
Sore throat,Accompanied by,Skin rash
Sore throat,Accompanied by,Sneezing
Sore throat,Accompanied by,Watery eyes
Sore throat,Accompanied by,White patches or pus on tonsils
Sore throat,Accompanied by,Yellow or greenish phlegm or discharge from your nose
Urinary problems,Problem is,Awaking two or more times in the night to urinate
Urinary problems,Problem is,Blood in urine
Urinary problems,Problem is,Change in urine color
Urinary problems,Problem is,Cloudy urine
Urinary problems,Problem is,Difficulty emptying bladder or weak urine stream
Urinary problems,Problem is,Difficulty starting urination
Urinary problems,Problem is,Frequent urination
Urinary problems,Problem is,Involuntary loss of urine
Urinary problems,Problem is,Pain or burning when urinating
Urinary problems,Problem is,"Strong, persistent urge to urinate"
Urinary problems,Related pain involves,"Itching or burning around genitals, buttocks or inner thighs"
Urinary problems,Related pain involves,Pain in back or side
Urinary problems,Related pain involves,Pain in lower abdomen or groin
Urinary problems,Related pain involves,Painful ejaculation
Urinary problems,Related pain involves,Painful sexual intercourse
Urinary problems,Worsened by,Menstrual cycle
Urinary problems,Worsened by,Stress
Urinary problems,Accompanied by,Blurred vision
Urinary problems,Accompanied by,"Bumps, blisters or open sores around genitals"
Urinary problems,Accompanied by,Change in vaginal discharge
Urinary problems,Accompanied by,Clear discharge from penis
Urinary problems,Accompanied by,Extreme thirst or hunger
Urinary problems,Accompanied by,Fatigue
Urinary problems,Accompanied by,Fever
Urinary problems,Accompanied by,Nausea or vomiting
Urinary problems,Accompanied by,Pus-filled discharge from penis
Urinary problems,Accompanied by,Unintended weight loss
Urinary problems,Accompanied by,Vaginal odor
Wheezing,Wheezing is,New or recent
Wheezing,Wheezing is,Ongoing or recurrent
Wheezing,Preceded by,Upper respiratory illness
Wheezing,Triggered or worsened by,Allergens or irritants
Wheezing,Triggered or worsened by,Exposure to cold air
Wheezing,Triggered or worsened by,Mild to moderate exertion
Wheezing,Triggered or worsened by,Smoking
Wheezing,Accompanied by,Blue-colored skin or lips
Wheezing,Accompanied by,Chest pain or tightness
Wheezing,Accompanied by,Cough that produces sputum
Wheezing,Accompanied by,Difficult or painful swallowing
Wheezing,Accompanied by,Dry cough
Wheezing,Accompanied by,Fatigue or weakness
Wheezing,Accompanied by,Fever
Wheezing,Accompanied by,Hoarse or muffled voice
Wheezing,Accompanied by,Shortness of breath
Wheezing,Accompanied by,Sore throat
