Key,symptom,factor_group,factor,translation chinese,translation english,
"cough, cough is producing phlegm or sputum",Cough,Cough is,Producing phlegm or sputum,请问你有咳痰的症状吗？咳痰是指咳嗽时伴有痰液或黏液的排出。,Do you have symptoms of coughing up phlegm? This refers to coughing accompanied by the expulsion of phlegm or mucus.,
"cough, problem is new or recent",Cough,Problem is,New or recent,请问你最近才新出现的咳嗽问题吗？,Did your coughing start recently?,
"cough, problem is ongoing or recurrent",Cough,Problem is,Ongoing or recurrent,请问你有持续或反复出现的咳嗽问题吗？,Do you have a persistent or recurring cough?,
"cough, problem is worsening or progressing",Cough,Problem is,Worsening or progressing,请问你的咳嗽症状有恶化或加重的趋势吗？,Are your cough symptoms worsening or intensifying?,
"cough, triggered or worsened by allergens or irritants",Cough,Triggered or worsened by,Allergens or irritants,请问你的咳嗽是不是由过敏原或刺激物引发或加重的？,Is your cough triggered or worsened by allergens or irritants?,
"cough, accompanied by chest pain or tightness",Cough,Accompanied by,Chest pain or tightness,请问你咳嗽时伴有胸痛或胸部紧绷感吗？,Do you experience chest pain or a tight feeling in your chest when you cough?,
"cough, accompanied by chills or sweating",Cough,Accompanied by,Chills or sweating,请问你咳嗽时伴有寒战或出汗吗？,Do you experience chills or sweating when you cough?,
"cough, accompanied by difficult or painful swallowing",Cough,Accompanied by,Difficult or painful swallowing,请问你咳嗽时有吞咽困难或疼痛吗？,Do you have difficulty swallowing or pain when swallowing when you cough?,
"cough, accompanied by fatigue",Cough,Accompanied by,Fatigue,请问你咳嗽时感觉疲劳吗？,Do you feel tired when you cough?,
"cough, accompanied by fever",Cough,Accompanied by,Fever,请问你咳嗽时有发热吗？,Do you have a fever when you cough?,
"cough, accompanied by headache or facial pain",Cough,Accompanied by,Headache or facial pain,请问你咳嗽时有头痛或面部疼痛吗？,Do you have a headache or facial pain when you cough?,
"cough, accompanied by hoarse voice",Cough,Accompanied by,Hoarse voice,请问你咳嗽时声音嘶哑吗？,Is your voice hoarse when you cough?,
"cough, accompanied by loss of appetite",Cough,Accompanied by,Loss of appetite,请问你咳嗽时有食欲减退吗？,Do you have a loss of appetite when you cough?,
"cough, accompanied by muscle aches",Cough,Accompanied by,Muscle aches,请问你咳嗽时有肌肉疼痛吗？,Do you experience muscle pain when you cough?,
"cough, accompanied by runny or stuffy nose",Cough,Accompanied by,Runny or stuffy nose,请问你咳嗽时有流鼻涕或鼻塞吗？,Do you have a runny or stuffy nose when you cough?,
"cough, accompanied by shortness of breath",Cough,Accompanied by,Shortness of breath,请问你咳嗽时有呼吸急促吗？,Do you have shortness of breath when you cough?,
"cough, accompanied by sneezing",Cough,Accompanied by,Sneezing,请问你咳嗽时有打喷嚏吗？,Do you sneeze when you cough?,
"cough, accompanied by sore throat",Cough,Accompanied by,Sore throat,请问你咳嗽时有喉咙痛吗？,Do you have a sore throat when you cough?,
"cough, accompanied by watery or itchy eyes",Cough,Accompanied by,Watery or itchy eyes,请问你咳嗽时有眼睛流泪或痒感吗？,Do you have teary or itchy eyes when you cough?,
"cough, accompanied by wheezing",Cough,Accompanied by,Wheezing,请问你咳嗽时有喘息声吗？,Do you have a wheezing sound when you cough?,
"diarrhea, problem is ongoing or recurrent (weeks to years)",Diarrhea,Problem is,Ongoing or recurrent (weeks to years),请问您的腹泻是持续或反复发生（持续几周到几年）的吗？ 这意味着腹泻不是一次性事件，而是长时间反复发生，可能指某些长期或慢性疾病。,"Is your diarrhea persistent or recurrent (lasting from weeks to years)? This means the diarrhea is not a one-time event but occurs over a long time, potentially indicating some chronic or long-term illness.",
"diarrhea, problem is recent (days to weeks)",Diarrhea,Problem is,Recent (days to weeks),请问您的腹泻是近期出现的吗（数天到数周）？,Is your diarrhea a recent occurrence (from a few days to weeks)?,
"diarrhea, problem is sudden (hours to days)",Diarrhea,Problem is,Sudden (hours to days),请问您的腹泻症状是最近突然出现的吗（几天到几小时内）？,Did your diarrhea symptoms appear suddenly (from a few days to hours)?,
"diarrhea, preceded by eating suspect food",Diarrhea,Preceded by,Eating suspect food,请问您是在食用可疑食物后出现过腹泻症状吗？ ,Did you experience diarrhea symptoms after consuming questionable food?,
"diarrhea, preceded by recent antibiotic use",Diarrhea,Preceded by,Recent antibiotic use,请问您是在使用抗生素后出现腹泻症状吗？ ,Did you experience diarrhea symptoms after using antibiotics?,
"diarrhea, triggered or worsened by eating certain foods",Diarrhea,Triggered or worsened by,Eating certain foods,请问您的腹泻症状会食用特定食物后触发或加重吗？,Are your diarrhea symptoms triggered or worsened after eating specific foods?,
"diarrhea, relieved by avoiding certain foods",Diarrhea,Relieved by,Avoiding certain foods,请问避免吃特定食物后您的腹泻症状有所缓解吗？ ,Does avoiding certain foods relieve your diarrhea symptoms?,
"diarrhea, accompanied by abdominal pain or cramping",Diarrhea,Accompanied by,Abdominal pain or cramping,请问您的腹泻症状是否伴有腹痛或痉挛？ ,Are your diarrhea symptoms accompanied by abdominal pain or cramps?,
"diarrhea, accompanied by bloating or abdominal swelling",Diarrhea,Accompanied by,Bloating or abdominal swelling,请问您的腹泻症状是否伴有腹胀或腹部肿胀？ 这可能是消化不良或肠道气体积聚的表现。,Are your diarrhea symptoms accompanied by bloating or abdominal swelling? This might indicate indigestion or intestinal gas accumulation.,
"diarrhea, accompanied by bloody stools",Diarrhea,Accompanied by,Bloody stools,请问您的腹泻症状是否伴有血便？ ,Are your diarrhea symptoms accompanied by bloody stools?,
"diarrhea, accompanied by constipation",Diarrhea,Accompanied by,Constipation,请问您的腹泻症状是否伴有便秘？ ,Are your diarrhea symptoms accompanied by constipation?,
"diarrhea, accompanied by fever",Diarrhea,Accompanied by,Fever,请问您的腹泻症状是否伴有发热？ ,Are your diarrhea symptoms accompanied by fever?,
"diarrhea, accompanied by mucus in stools",Diarrhea,Accompanied by,Mucus in stools,请问您的腹泻症状是否伴有粘液便？ ,Are your diarrhea symptoms accompanied by mucus in the stool?,
"diarrhea, accompanied by muscle or joint aches",Diarrhea,Accompanied by,Muscle or joint aches,请问您的腹泻症状是否伴有肌肉或关节疼痛？,Are your diarrhea symptoms accompanied by muscle or joint pain?,
"diarrhea, accompanied by nausea or vomiting",Diarrhea,Accompanied by,Nausea or vomiting,请问您的腹泻症状是否伴有恶心或呕吐？ ,Are your diarrhea symptoms accompanied by nausea or vomiting?,
"diarrhea, accompanied by passing gas",Diarrhea,Accompanied by,Passing gas,请问您的腹泻症状会伴随放屁吗？,Do you experience flatulence with your diarrhea symptoms?,
"diarrhea, accompanied by unintended weight loss",Diarrhea,Accompanied by,Unintended weight loss,请问您的腹泻症状是否伴有意外的体重减轻？ ,Are your diarrhea symptoms accompanied by unexpected weight loss?,
"diarrhea, accompanied by urgency to have a bowel movement",Diarrhea,Accompanied by,Urgency to have a bowel movement,请问您的腹泻症状是否伴有急迫感，感觉需要立即进行排便？,"Do your diarrhea symptoms include a sense of urgency, feeling the need to have a bowel movement right away?",
"difficulty swallowing, swallowing hurts",Difficulty swallowing,Swallowing,Hurts,请问你吞咽时感到疼痛吗？,Do you feel pain when you swallow?,
"difficulty swallowing, swallowing takes effort",Difficulty swallowing,Swallowing,Takes effort,请问你吞咽时需要用力吗？,Do you need to exert effort when you swallow?,
"difficulty swallowing, triggered or worsened by eating certain foods",Difficulty swallowing,Triggered or worsened by,Eating certain foods,请问吃特定食物时会加重你的吞咽困难吗？,Does eating specific foods exacerbate your swallowing difficulties?,
"difficulty swallowing, accompanied by bad breath",Difficulty swallowing,Accompanied by,Bad breath,请问你的吞咽困难伴随口臭吗？,Is your difficulty swallowing accompanied by bad breath?,
"difficulty swallowing, accompanied by cough",Difficulty swallowing,Accompanied by,Cough,请问你的吞咽困难伴随咳嗽吗？,Is your difficulty swallowing accompanied by a cough?,
"difficulty swallowing, accompanied by difficulty breathing",Difficulty swallowing,Accompanied by,Difficulty breathing,请问你的吞咽困难伴随呼吸困难吗？,Is your difficulty swallowing accompanied by difficulty breathing?,
"difficulty swallowing, accompanied by dry mouth",Difficulty swallowing,Accompanied by,Dry mouth,请问你的吞咽困难伴随口干吗？,Is your difficulty swallowing accompanied by dry mouth?,
"difficulty swallowing, accompanied by earache",Difficulty swallowing,Accompanied by,Earache,请问你的吞咽困难伴随耳痛吗？,Is your difficulty swallowing accompanied by ear pain?,
"difficulty swallowing, accompanied by feeling of something stuck in your throat",Difficulty swallowing,Accompanied by,Feeling of something stuck in your throat,请问你吞咽困难时感觉喉咙里像是卡着什么东西吗？,"When you have difficulty swallowing, do you feel like something is stuck in your throat?",
"difficulty swallowing, accompanied by heartburn",Difficulty swallowing,Accompanied by,Heartburn,请问你吞咽困难时伴随烧心的感觉吗？,"When you have difficulty swallowing, do you experience heartburn?",
"difficulty swallowing, accompanied by hoarse voice or difficulty speaking",Difficulty swallowing,Accompanied by,Hoarse voice or difficulty speaking,请问你吞咽困难时伴随声音嘶哑或说话困难吗？,"When you have difficulty swallowing, do you experience hoarseness or difficulty speaking?",
"difficulty swallowing, accompanied by jaw pain or stiffness",Difficulty swallowing,Accompanied by,Jaw pain or stiffness,请问你吞咽困难时伴随颚部疼痛或僵硬吗？,"When you have difficulty swallowing, do you experience jaw pain or stiffness?",
"difficulty swallowing, accompanied by loose teeth or poorly fitting dentures",Difficulty swallowing,Accompanied by,Loose teeth or poorly fitting dentures,请问你吞咽困难时伴随松动的牙齿或假牙不适合吗？,"When you have difficulty swallowing, do you experience issues with loose teeth or ill-fitting dentures?",
"difficulty swallowing, accompanied by lump in front of neck",Difficulty swallowing,Accompanied by,Lump in front of neck,请问你吞咽困难时伴随颈部前方有肿块吗？,"When you have difficulty swallowing, do you feel a lump in the front of your neck?",
"difficulty swallowing, accompanied by mouth sores, lumps or pain",Difficulty swallowing,Accompanied by,"Mouth sores, lumps or pain",请问你吞咽困难时伴随口腔溃疡、肿块或疼痛吗？,"When you have difficulty swallowing, do you experience mouth ulcers, lumps, or pain?",
"difficulty swallowing, accompanied by pain in chest or back",Difficulty swallowing,Accompanied by,Pain in chest or back,请问你吞咽困难时伴随胸部或背部疼痛吗？,"When you have difficulty swallowing, do you experience chest or back pain?",
"difficulty swallowing, accompanied by regurgitation of food or sour liquid",Difficulty swallowing,Accompanied by,Regurgitation of food or sour liquid,请问你吞咽困难时伴随食物或酸液回流吗？,"When you have difficulty swallowing, do you experience regurgitation of food or acid?",
"difficulty swallowing, accompanied by sore throat",Difficulty swallowing,Accompanied by,Sore throat,请问你吞咽困难时伴随有喉咙痛吗？,"When you have difficulty swallowing, do you experience throat pain?",
"difficulty swallowing, accompanied by thick saliva",Difficulty swallowing,Accompanied by,Thick saliva,请问你吞咽困难时伴随唾液粘稠吗？,"When you have difficulty swallowing, is your saliva thick?",
"difficulty swallowing, accompanied by unintended weight loss",Difficulty swallowing,Accompanied by,Unintended weight loss,请问你的吞咽困难伴随着有无意的体重下降吗？,Does your difficulty swallowing come with unintended weight loss?,
"dizziness, you feel a spinning sensation",Dizziness,You feel,A spinning sensation,请问你的眩晕是感觉周围的事物在旋转吗？,Does your dizziness feel like the surroundings are spinning?,
"dizziness, you feel lightheaded or faint",Dizziness,You feel,Lightheaded or faint,请问你的眩晕是感觉头部感觉轻飘飘的，可能会接近失去意识吗？,"Does your dizziness make you feel lightheaded, as if you might lose consciousness?",
"dizziness, you feel unsteady",Dizziness,You feel,Unsteady,请问你眩晕时感觉站立不稳吗？,Do you feel unsteady when you are dizzy?,
"dizziness, symptoms are new or sudden",Dizziness,Symptoms are,New or sudden,请问你的眩晕症状是新出现的或突然发生的吗？,Is your dizziness a new or sudden occurrence?,
"dizziness, symptoms are recurrent or ongoing",Dizziness,Symptoms are,Recurrent or ongoing,请问你的眩晕是反复发生或持续存在的吗？,Is your dizziness recurrent or persistent?,
"dizziness, triggered or worsened by change in head or body position",Dizziness,Triggered or worsened by,Change in head or body position,请问你的眩晕在改变头部或身体位置时会触发或加重吗？,Does your dizziness get triggered or worsen with changes in the position of your head or body?,
"dizziness, accompanied by anxiety",Dizziness,Accompanied by,Anxiety,请问你的眩晕伴随有焦虑感吗？,Does your dizziness come with a feeling of anxiety?,
"dizziness, accompanied by blurred or double vision",Dizziness,Accompanied by,Blurred or double vision,请问你的眩晕伴随有视物模糊或双视吗？,Does your dizziness come with blurred vision or double vision?,
"dizziness, accompanied by buzzing or ringing in ear",Dizziness,Accompanied by,Buzzing or ringing in ear,请问你眩晕时伴随有耳鸣吗？,"When you are dizzy, do you experience ringing in your ears?",
"dizziness, accompanied by buzzing or ringing (tinnitus) in only one ear",Dizziness,Accompanied by,Buzzing or ringing (tinnitus) in only one ear,请问你眩晕时伴随有单耳耳鸣吗？,"When you are dizzy, do you experience ringing in one ear?",
"dizziness, accompanied by chest pain or tightness",Dizziness,Accompanied by,Chest pain or tightness,请问你眩晕时伴随有胸痛或胸部紧束感吗？,"When you are dizzy, do you experience chest pain or a tight feeling in your chest?",
"dizziness, accompanied by confusion",Dizziness,Accompanied by,Confusion,请问你眩晕时伴随有混乱或困惑吗？,"When you are dizzy, do you experience confusion or disorientation?",
"dizziness, accompanied by ear pain or pressure",Dizziness,Accompanied by,Ear pain or pressure,请问你眩晕时伴随有耳痛或耳部压力感吗？,"When you are dizzy, do you experience ear pain or a sense of pressure in your ears?",
"dizziness, accompanied by fever",Dizziness,Accompanied by,Fever,请问你眩晕时伴随有发热吗？,"When you are dizzy, do you experience a fever?",
"dizziness, accompanied by hearing loss",Dizziness,Accompanied by,Hearing loss,请问你眩晕时伴随有听力下降吗？,"When you are dizzy, do you experience a decrease in hearing?",
"dizziness, accompanied by nausea or vomiting",Dizziness,Accompanied by,Nausea or vomiting,请问你眩晕时伴随有恶心或呕吐吗？,"When you are dizzy, do you experience nausea or vomiting?",
"dizziness, accompanied by numbness or weakness on one side of body",Dizziness,Accompanied by,Numbness or weakness on one side of body,请问你眩晕时伴随有身体一侧的麻木或无力吗？,"When you are dizzy, do you experience numbness or weakness on one side of your body?",
"dizziness, accompanied by pain in neck, jaw, arms, shoulders or back",Dizziness,Accompanied by,"Pain in neck, jaw, arms, shoulders or back",请问你眩晕时伴随有颈部、下巴、手臂、肩膀或背部疼痛吗？,"When you are dizzy, do you experience pain in your neck, jaw, arms, shoulders, or back?",
"dizziness, accompanied by rapid or irregular heartbeat",Dizziness,Accompanied by,Rapid or irregular heartbeat,请问你眩晕时伴随有心跳快或不规则吗？,"When you are dizzy, do you experience a rapid or irregular heartbeat?",
"dizziness, accompanied by severe headache",Dizziness,Accompanied by,Severe headache,请问您的眩晕伴随着严重头痛的症状吗？,Does your dizziness come with severe headaches?,
"dizziness, accompanied by shortness of breath",Dizziness,Accompanied by,Shortness of breath,请问您的眩晕伴随着呼吸急促的症状吗？,Does your dizziness come with shortness of breath?,
"dizziness, accompanied by slurred speech",Dizziness,Accompanied by,Slurred speech,请问您的眩晕伴随着语言不清的症状吗？,Does your dizziness come with slurred speech?,
"dizziness, accompanied by sweating",Dizziness,Accompanied by,Sweating,请问您的眩晕伴随着出汗的症状吗？,Does your dizziness come with sweating?,
"eye discomfort and redness, eye discomfort best described as achy",Eye discomfort and redness,Eye discomfort best described as,Achy,请问您眼部不适是指眼睛疼痛吗？,Does your eye discomfort refer to eye pain?,
"eye discomfort and redness, eye discomfort best described as dry or itchy",Eye discomfort and redness,Eye discomfort best described as,Dry or itchy,请问您眼部不适是指眼睛干燥或痒吗？,Does your eye discomfort refer to dry or itchy eyes?,
"eye discomfort and redness, eye discomfort best described as gritty sensation",Eye discomfort and redness,Eye discomfort best described as,Gritty sensation,请问您眼部不适是指眼睛有异物感吗？,Does your eye discomfort refer to a sensation of having something in your eye?,
"eye discomfort and redness, eye discomfort best described as redness without actual discomfort",Eye discomfort and redness,Eye discomfort best described as,Redness without actual discomfort,请问您眼部不适是指眼睛红但不痛吗？,Does your eye discomfort refer to redness in the eyes but without pain?,
"eye discomfort and redness, eye discomfort best described as sensitivity to light",Eye discomfort and redness,Eye discomfort best described as,Sensitivity to light,请问您眼部不适最合适的描述是对光敏感吗？,Is the best description of your eye discomfort sensitivity to light?,
"eye discomfort and redness, eye discomfort best described as severe pain",Eye discomfort and redness,Eye discomfort best described as,Severe pain,请问您眼部不适是指眼睛严重疼痛吗？,Does your eye discomfort refer to severe eye pain?,
"eye discomfort and redness, eye discomfort best described as stinging or burning sensation",Eye discomfort and redness,Eye discomfort best described as,Stinging or burning sensation,请问您眼部不适是指眼睛刺痛或有烧灼感吗？,Does your eye discomfort refer to a stinging or burning sensation in the eyes?,
"eye discomfort and redness, appearance of eye includes bleeding on the surface of the white of the eye",Eye discomfort and redness,Appearance of eye includes,Bleeding on the surface of the white of the eye,请问您眼睛表面有出血现象吗？,Do you have bleeding on the surface of your eye?,
"eye discomfort and redness, appearance of eye includes crusted eyelashes after sleeping",Eye discomfort and redness,Appearance of eye includes,Crusted eyelashes after sleeping,请问您睡醒后睫毛上有结痂吗？,Do you have crust on your eyelashes when you wake up?,
"eye discomfort and redness, appearance of eye includes excessive tearing",Eye discomfort and redness,Appearance of eye includes,Excessive tearing,请问您眼泪过多吗？,Do you have excessive tearing?,
"eye discomfort and redness, appearance of eye includes red, painful lump on the eyelid",Eye discomfort and redness,Appearance of eye includes,"Red, painful lump on the eyelid",请问您眼睑上出现红色疼痛的肿块吗？,"Do you have a red, painful lump on your eyelid?",
"eye discomfort and redness, appearance of eye includes redness",Eye discomfort and redness,Appearance of eye includes,Redness,请问您眼睛有出现红润吗？症状表现为眼睛发红，可能因为疲劳、刺激或感染。,"Do your eyes appear bloodshot? This is characterized by redness of the eyes, possibly due to fatigue, irritation, or infection.",
"eye discomfort and redness, appearance of eye includes stringy mucus in or around the eye",Eye discomfort and redness,Appearance of eye includes,Stringy mucus in or around the eye,请问您眼睛或周围有黏液性分泌物吗？,Do you have mucous discharge around your eyes?,
"eye discomfort and redness, appearance of eye includes swelling around the eye",Eye discomfort and redness,Appearance of eye includes,Swelling around the eye,请问您眼睛周围出现肿胀吗？,Do you experience swelling around your eyes?,
"eye discomfort and redness, vision problem includes blurred vision",Eye discomfort and redness,Vision problem includes,Blurred vision,请问您存在视力模糊的问题吗？,Do you have blurred vision?,
"eye discomfort and redness, vision problem includes dark, floating spots in vision",Eye discomfort and redness,Vision problem includes,"Dark, floating spots in vision",请问您的视野中有出现黑色漂浮物吗？,Do you see black spots in your vision?,
"eye discomfort and redness, vision problem includes vision loss",Eye discomfort and redness,Vision problem includes,Vision loss,请问您存在视力丧失的问题吗？,Do you have loss of vision?,
"eye discomfort and redness, triggered by allergens or other irritants",Eye discomfort and redness,Triggered by,Allergens or other irritants,请问您的眼部不适或红眼是由过敏原或其他刺激物引起的吗？,Is your eye discomfort or red eye caused by allergens or other irritants?,
"eye discomfort and redness, triggered by injury or trauma",Eye discomfort and redness,Triggered by,Injury or trauma,请问您的眼部不适或红眼是由受伤或外伤引起的吗？,Is your eye discomfort or red eye caused by injury or trauma?,
"eye discomfort and redness, worsened by dry, warm air",Eye discomfort and redness,Worsened by,"Dry, warm air",请问您的眼部不适或红眼在干燥、热风环境下会加剧吗？,"Does your eye discomfort or red eye worsen in dry, hot air conditions?",
"eye discomfort and redness, worsened by eye movement",Eye discomfort and redness,Worsened by,Eye movement,请问您的眼部不适或红眼在眼球移动时会加剧吗？,Does your eye discomfort or red eye worsen with eye movement?,
"eye discomfort and redness, accompanied by runny or stuffy nose",Eye discomfort and redness,Accompanied by,Runny or stuffy nose,请问您有眼部不适或红眼伴随着流鼻涕或鼻塞吗？,Do you have nasal discharge or congestion along with eye discomfort or red eye?,
"eye problems, problem is blurry distant objects",Eye problems,Problem is,Blurry distant objects,请问您有看远处物体模糊的问题吗？,Do you have a problem with seeing distant objects clearly?,
"eye problems, problem is blurry nearby objects",Eye problems,Problem is,Blurry nearby objects,请问您有看近处物体模糊的问题吗？,Do you have a problem with seeing close objects clearly?,
"eye problems, problem is blurry or blind spot in center of vision",Eye problems,Problem is,Blurry or blind spot in center of vision,请问您有视野中心出现模糊或盲点的问题吗？,Do you have blurriness or a blind spot in the center of your vision?,
"eye problems, problem is blurry vision at all distances",Eye problems,Problem is,Blurry vision at all distances,请问您在所有距离上都感觉视线模糊吗？,Do you have blurry vision at all distances?,
"eye problems, problem is bright zigzag lines",Eye problems,Problem is,Bright zigzag lines,请问您会看到明亮的锯齿形线条吗？,"Do you see bright, jagged lines?",
"eye problems, problem is clouded, hazy or dim vision",Eye problems,Problem is,"Clouded, hazy or dim vision",请问您有视野变得模糊、朦胧或昏暗的问题吗？症状表现为整个视野变得不清晰，好像有雾或阴影遮挡。,"Do you experience a blur, haze, or dimness in your vision? This is characterized by the entire field of vision becoming unclear, as if obscured by fog or a shadow.",
"eye problems, problem is double vision",Eye problems,Problem is,Double vision,请问您有双重视觉的问题吗？症状表现为看任何物体时感觉像是重叠或看到两个相同的图像。,Do you have double vision? This is characterized by seeing an object as double or two identical images.,
"eye problems, problem is fading of colors",Eye problems,Problem is,Fading of colors,请问您有感觉颜色逐渐褪去吗？,Do you feel like colors are fading?,
"eye problems, problem is flashes of light",Eye problems,Problem is,Flashes of light,请问您有看到闪光的光点吗？症状表现为在没有光源的情况下视野中出现闪光或光点。,Do you see flashes of light? This is characterized by seeing flashes or spots of light in the absence of a light source.,
"eye problems, problem is glare with bright lights",Eye problems,Problem is,Glare with bright lights,请问您面对强光时感到眩光吗？症状表现为面对明亮的光源时感觉刺眼或难以睁眼。,Do you experience glare when facing bright lights? This is characterized by discomfort or difficulty opening the eyes in bright light.,
"eye problems, problem is halos around lights",Eye problems,Problem is,Halos around lights,请问您看灯光时周围有光晕吗？症状表现为观察光源时，光源周围出现圆圈或晕影。,Do you see halos around lights? This is characterized by circles or glare seen around a light source.,
"eye problems, problem is inability to distinguish certain shades of color",Eye problems,Problem is,Inability to distinguish certain shades of color,请问您无法区分某些颜色的阴影吗？症状表现为难以区分或识别某些特定颜色或色调。,Are you unable to differentiate certain shades of colors?,
"eye problems, problem is loss of side vision",Eye problems,Problem is,Loss of side vision,请问您有视野缺失或侧视力丧失的问题吗？症状表现为无法看到视野的一侧或周边区域，感觉像是有东西遮挡。,"Do you have loss of peripheral or side vision? This is characterized by the inability to see to one side or the periphery, feeling as though something is blocking your view.",
"eye problems, problem is objects appear crooked or distorted",Eye problems,Problem is,Objects appear crooked or distorted,请问您看到的物体出现扭曲或变形吗？,Do objects appear distorted or warped to you?,
"eye problems, problem is poor night vision",Eye problems,Problem is,Poor night vision,请问您有夜间视力差的问题吗？,Do you have poor night vision?,
"eye problems, problem is progressive expansion of shadow or curtain over visual field",Eye problems,Problem is,Progressive expansion of shadow or curtain over visual field,请问您有视野中逐渐出现阴影或帘幕遮挡的感觉吗？,Do you feel as if a curtain or shadow is descending in your field of vision?,
"eye problems, problem is seeing nonexistent things, or hallucinating",Eye problems,Problem is,"Seeing nonexistent things, or hallucinating",请问您有看到不存在的东西，或出现幻觉的情况吗？,"Do you see things that aren't there, or experience hallucinations?",
"eye problems, problem is sensitivity to light",Eye problems,Problem is,Sensitivity to light,请问您对光线非常敏感吗？症状表现为眼睛对光线反应强烈，可能感到不适或疼痛。,"Are you extremely sensitive to light? This is characterized by a strong reaction of the eyes to light, possibly causing discomfort or pain.",
"eye problems, problem is shimmering spots or stars",Eye problems,Problem is,Shimmering spots or stars,请问您看到闪烁的斑点或星星吗？,Do you see flickering spots or stars?,
"eye problems, problem is spots or strings floating in field of vision",Eye problems,Problem is,Spots or strings floating in field of vision,请问您看到视野中漂浮的斑点或丝状物吗？症状表现为视野中有小黑点或像蜘蛛网一样的结构漂浮。,Do you see floating spots or threads in your vision? This is characterized by seeing small dark spots or web-like structures floating in your vision.,
"eye problems, problem is tunnel vision",Eye problems,Problem is,Tunnel vision,请问您有隧道视觉的感觉吗？症状表现为只能看到直视前方的视野，而周围的视野似乎消失了。,"Do you experience tunnel vision? This is characterized by only being able to see the area directly in front, as if the peripheral vision has disappeared.",
"eye problems, problem is vision loss, partial or total",Eye problems,Problem is,"Vision loss, partial or total",请问您有部分或全部视力丧失的情况吗？症状表现为视力部分或完全丧失，影响日常生活和活动,"Do you have partial or complete loss of vision? This is characterized by partial or total loss of vision, affecting daily life and activities.",
"eye problems, problem affects both eyes",Eye problems,Problem affects,Both eyes,请问您的双眼是否有视觉问题？（指的是视力问题影响到两只眼睛。）,Do you have visual problems affecting both eyes?,
"eye problems, problem affects one eye",Eye problems,Problem affects,One eye,请问您的单眼是否有视觉问题？（指的是视力问题仅影响一只眼睛。）,Do you have visual problems affecting only one eye?,
"eye problems, vision improves somewhat with holding objects away from face",Eye problems,Vision improves somewhat with,Holding objects away from face,当您把物体拿远一些时，视力是否有所改善？（指的是远距离看东西比较清楚，可能提示远视问题。）,Does moving objects farther away improve your vision? (This may indicate farsightedness.),
"eye problems, vision improves somewhat with holding objects close to face",Eye problems,Vision improves somewhat with,Holding objects close to face,当您把物体拿近一些时，视力是否有所改善？（指的是近距离看东西比较清楚，可能提示近视问题。）,Does bringing objects closer improve your vision? (This may indicate nearsightedness.),
"eye problems, vision improves somewhat with squinting",Eye problems,Vision improves somewhat with,Squinting,眯眼时，您的视力是否有所改善？（指的是通过缩小眼睛的开口，改善焦距和视力清晰度。）,Does squinting improve your vision? (This refers to improving focus and clarity by narrowing the eye's aperture.),
"eye problems, vision improves somewhat with use of bright lighting",Eye problems,Vision improves somewhat with,Use of bright lighting,在明亮的光线下，您的视力是否有所改善？（指的是在光线较强时视力变好，可能与光照条件影响视力有关。）,Does your vision improve in bright light? (This may be related to how light conditions affect vision.),
"eye problems, onset is gradual or progressive",Eye problems,Onset is,Gradual or progressive,您的视力问题是否是逐渐出现或持续恶化的？（指的是视力问题不是一下子出现，而是逐渐发展的。）,Is your vision problem gradual or progressively getting worse?,
"eye problems, onset is recent (hours to days)",Eye problems,Onset is,Recent (hours to days),您的视力问题是否是在最近几小时到几天内出现的？,Did your vision problem start in the past few hours to days?,
"eye problems, onset is sudden (seconds to minutes)",Eye problems,Onset is,Sudden (seconds to minutes),您的视力问题是否是突然之间发生的，从几秒到几分钟内？,"Did your vision problem occur suddenly, within seconds to minutes?",
"eye problems, duration is a few minutes",Eye problems,Duration is,A few minutes,您的视力问题是否持续了几分钟？,Does your vision problem last for a few minutes?,
"eye problems, duration is usually no longer than 30 minutes",Eye problems,Duration is,Usually no longer than 30 minutes,您的视力问题通常不超过30分钟吗？,Is your vision problem usually not longer than 30 minutes?,
"eye problems, accompanied by confusion or trouble talking",Eye problems,Accompanied by,Confusion or trouble talking,您的视力问题是否伴随有混乱或说话困难？,Is your vision problem accompanied by confusion or difficulty speaking?,
"eye problems, accompanied by dizziness or difficulty walking",Eye problems,Accompanied by,Dizziness or difficulty walking,您的视力问题是否伴随有头晕或行走困难？,Is your vision problem accompanied by dizziness or difficulty walking?,
"eye problems, accompanied by eye pain or discomfort",Eye problems,Accompanied by,Eye pain or discomfort,您的视力问题是否伴随有眼痛或不适？,Is your vision problem accompanied by eye pain or discomfort?,
"eye problems, accompanied by eye redness",Eye problems,Accompanied by,Eye redness,您的视力问题是否伴随有眼睛红润？,Is your vision problem accompanied by redness in the eyes?,
"eye problems, accompanied by eyestrain",Eye problems,Accompanied by,Eyestrain,您的视力问题是否伴随有眼睛疲劳？,Is your vision problem accompanied by eye fatigue?,
"eye problems, accompanied by headache",Eye problems,Accompanied by,Headache,您的视力问题是否伴随有头痛？,Is your vision problem accompanied by a headache?,
"eye problems, accompanied by numbness or weakness on one side of the body",Eye problems,Accompanied by,Numbness or weakness on one side of the body,您的视力问题是否伴随有身体一侧的麻木或无力？,Is your vision problem accompanied by numbness or weakness on one side of the body?,
"eye problems, accompanied by other sensory disturbances",Eye problems,Accompanied by,Other sensory disturbances,您的视力问题是否伴随有其他感觉异常？,Is your vision problem accompanied by other unusual sensations?,
